product_name,total_sold,current_stock,turnover_rate
Trek Domane SLR Frameset - 2018,9,10,0.9
"Electra Superbolt 1 20"" - 2018",6,9,0.67
Electra Koa 3i Ladies' - 2018,33,72,0.46
Electra Cruiser 1 Ladies' - 2018,18,40,0.45
Electra Amsterdam Original 3i - 2015/2017,96,242,0.4
Sun Bicycles Streamway 7 - 2017,111,275,0.4
Trek Silque SLR 8 Women's - 2017,87,228,0.38
Trek Remedy 29 Carbon Frameset - 2016,375,1105,0.34
Electra Amsterdam Original 3i Ladies' - 2017,93,276,0.34
Trek Domane AL 3 Women's - 2018,24,70,0.34
