product1_name,product2_name,common_customers,avg_purchase_count
Heller Shagamaw Frame - 2016,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,15,1.0
Trek Conduit+ - 2016,Surly Straggler - 2016,15,1.0
Electra Moto 1 - 2016,Electra Cruiser 1 (24-Inch) - 2016,15,1.0
Trek Conduit+ - 2016,Surly Straggler 650b - 2016,14,1.0
Electra Townie Original 21D - 2016,Electra Cruiser 1 (24-Inch) - 2016,14,1.0
Surly Wednesday Frameset - 2016,Trek Conduit+ - 2016,13,1.0
Trek Fuel EX 8 29 - 2016,Pure Cycles Western 3-Speed - Women's - 2015/2016,13,1.0
Pure Cycles Western 3-Speed - Women's - 2015/2016,Electra Cruiser 1 (24-Inch) - 2016,13,1.0
Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,13,1.0
Surly Wednesday Frameset - 2016,Pure Cycles Western 3-Speed - Women's - 2015/2016,12,1.1666666666666667
