order_date,total_revenue
2016-01-01,11929.0181
2016-01-02,1519.981
2016-01-03,5250.0427
2016-01-04,12980.0584
2016-01-05,10598.9295
2016-01-06,6816.9225
2016-01-08,3278.054
2016-01-09,4467.1467999999995
2016-01-12,6542.6113000000005
2016-01-14,23318.113199999996
2016-01-15,2083.1605
2016-01-16,7370.4295
2016-01-18,11610.6369
2016-01-19,12793.3611
2016-01-20,23036.826500000003
2016-01-21,9428.9172
2016-01-22,10199.1765
2016-01-23,5644.9152
2016-01-25,16487.5754
2016-01-27,8047.972000000001
2016-01-28,9574.037199999999
2016-01-29,2455.5549
2016-01-30,6712.8464
2016-01-31,3000.1373000000003
2016-02-01,1786.4650000000001
2016-02-03,5246.921700000001
2016-02-04,6289.8886
2016-02-05,2904.2235
2016-02-06,7402.4107
2016-02-07,9432.059700000002
2016-02-08,494.99100000000004
2016-02-09,5813.4133999999995
2016-02-10,3902.6054000000004
2016-02-11,4813.2445
2016-02-12,6002.440299999999
2016-02-13,1577.0717
2016-02-14,8763.964399999999
2016-02-16,9257.101900000001
2016-02-17,12944.598399999999
2016-02-18,3589.5660000000003
2016-02-19,2379.973
2016-02-20,7471.3138
2016-02-21,18748.369899999998
2016-02-23,1337.0817
2016-02-25,5095.8353
2016-02-26,4633.8544
2016-02-27,12416.9024
2016-02-28,4506.095700000001
2016-02-29,9301.9304
2016-03-01,13300.697
2016-03-02,754.5812
2016-03-03,15929.880000000001
2016-03-04,872.0820000000001
2016-03-06,5166.2991
2016-03-07,1265.9723999999999
2016-03-08,10021.3317
2016-03-09,620.0920000000001
2016-03-10,2214.507
2016-03-12,6384.605299999999
2016-03-14,15467.3054
2016-03-15,989.9820000000001
2016-03-16,16953.0432
2016-03-17,6332.9424
2016-03-18,8309.932
2016-03-19,12947.0703
2016-03-20,8462.2569
2016-03-21,12775.4285
2016-03-23,6213.0449
2016-03-25,359.20000000000005
2016-03-26,8319.307
2016-03-27,6744.774
2016-03-28,7507.066000000001
2016-03-29,8954.9748
2016-03-30,3238.9623999999994
2016-03-31,494.99100000000004
2016-04-02,1619.991
2016-04-03,12020.5631
2016-04-04,13232.448499999999
2016-04-06,3573.9244
2016-04-07,8696.072
